ID,School_name,Gender,Age,Address,Family_size ,Pstatus ,school_choice_reason,home_to_school_travel_time,weekly_study_time,num_of_past_class_failures,extra_educational_support,family_educational_support,extra_paid_classes,extra_curricular_activities,attended_nursery_school,wants_higher_education,internet_access_at_home,free_time_after_school,going_out_with_friends,current_health_status,mat_number_of_school_absences,mat_first_period_grade,mat_second_period_grade,mat_final_grade,por_number_of_school_absences,por_first_period_grade,por_second_period_grade,por_final_grade
0,Gabriel Pereira,Female,18,Urban,greater than 3,Apart,course,15 to 30 min.,2 to 5 hours,0,yes,no,no,no,yes,yes,no,Medium,High,Medium,6,5,6,6,4,0,11,11
1,Gabriel Pereira,Female,17,Urban,greater than 3,living together,course,<15 min,2 to 5 hours,0,no,yes,no,no,no,yes,yes,Medium,Medium,Medium,4,5,5,6,2,9,11,11
2,Gabriel Pereira,Female,15,Urban,equal to 3,living together,other,<15 min,2 to 5 hours,3,yes,no,yes,no,yes,yes,yes,Medium,Low,Medium,10,7,8,10,6,12,13,12
3,Gabriel Pereira,Female,15,Urban,greater than 3,living together,home,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,Low,Low,Very High,2,15,14,15,0,14,14,14
4,Gabriel Pereira,Female,16,Urban,greater than 3,living together,home,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,Medium,Low,Very High,4,6,10,10,0,11,13,13
5,Gabriel Pereira,Male,16,Urban,equal to 3,living together,reputation,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,High,Low,Very High,10,15,15,15,6,12,12,13
6,Gabriel Pereira,Male,16,Urban,equal to 3,living together,home,<15 min,2 to 5 hours,0,no,no,no,no,yes,yes,yes,High,High,Medium,0,12,12,11,0,13,12,13
7,Gabriel Pereira,Female,17,Urban,greater than 3,Apart,home,15 to 30 min.,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,Very Low,High,Very Low,6,6,5,6,2,10,13,13
8,Gabriel Pereira,Male,15,Urban,equal to 3,Apart,home,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,Low,Low,Very Low,0,16,18,19,0,15,16,17
9,Gabriel Pereira,Male,15,Urban,greater than 3,living together,home,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,Very High,Very Low,Very High,0,14,15,15,0,12,12,13
10,Gabriel Pereira,Female,15,Urban,greater than 3,living together,reputation,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,Medium,Medium,Low,0,10,8,9,2,14,14,14
11,Gabriel Pereira,Female,15,Urban,greater than 3,living together,reputation,30 min. to 1 hour,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,Low,Low,High,4,10,12,12,0,10,12,13
12,Gabriel Pereira,Male,15,Urban,equal to 3,living together,course,<15 min,<2 hours,0,no,yes,yes,yes,yes,yes,yes,Medium,Medium,Very High,2,14,14,14,0,12,13,12
13,Gabriel Pereira,Male,15,Urban,greater than 3,living together,course,15 to 30 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,High,Medium,Medium,2,10,10,11,0,12,12,13
14,Gabriel Pereira,Male,15,Urban,greater than 3,Apart,home,<15 min,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,Very High,Low,Medium,0,14,16,16,0,14,14,15
15,Gabriel Pereira,Female,16,Urban,greater than 3,living together,home,<15 min,<2 hours,0,no,yes,no,no,yes,yes,yes,High,High,Low,4,14,14,14,6,17,17,17
16,Gabriel Pereira,Female,16,Urban,greater than 3,living together,reputation,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,Low,Medium,Low,6,13,14,14,10,13,13,14
17,Gabriel Pereira,Female,16,Urban,greater than 3,living together,reputation,30 min. to 1 hour,2 to 5 hours,0,yes,yes,no,yes,yes,yes,no,Medium,Low,High,4,8,10,10,2,13,14,14
18,Gabriel Pereira,Male,17,Urban,greater than 3,living together,course,<15 min,<2 hours,3,no,yes,no,yes,yes,yes,yes,Very High,Very High,Very High,16,6,5,5,2,8,8,7
19,Gabriel Pereira,Male,16,Urban,equal to 3,living together,home,<15 min,<2 hours,0,no,no,yes,yes,yes,yes,yes,Very Low,Medium,Very High,4,8,10,10,6,12,12,12
20,Gabriel Pereira,Male,15,Urban,greater than 3,living together,reputation,<15 min,2 to 5 hours,0,no,no,no,no,yes,yes,yes,High,Very Low,Very Low,0,13,14,15,0,12,13,14
21,Gabriel Pereira,Male,15,Urban,greater than 3,living together,other,<15 min,<2 hours,0,no,yes,yes,no,yes,yes,yes,High,Low,Very High,0,12,15,15,0,11,12,12
